warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_partner_name,anesthesia_quote,distance_miles,within_radius,evidence,notes
100,Park Cities Surgery Center,6901 Snider Plaza,Suite 300,University Park,TX,75205,(214) 706-6901,https://parkcitiessurgery.com,"orthopedic surgery, gastroenterology, gynecology, plastic surgery, ENT, pain management, podiatry, urology, colorectal surgery",Joint Commission (confirmed),confirmed,no,confirmed,no,False,False,,The anesthesia provider will also speak with you in the pre-operative area to review all pre-operative information and discuss your anesthesia.,0.86,True,The facility website explicitly states 'The Joint Commission accredits our facility.' No evidence of AAAHC or QUAD A accreditation found on website or directories.,Multi-specialty ASC. Offers Direct Screen Colonoscopy Program.
100,Ophthalmology Surgery Center of Dallas,10740 N Central Expressway,Suite 400,Dallas,TX,75231,(214) 750-9288,https://oscdallas.com,"ophthalmology, cornea, glaucoma, oculoplastic surgery, retina, vitreous surgery, pediatric ophthalmology",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"Questions regarding your individual treatment plan or charges rendered by your surgeon, anesthesia team or other independent providers should be directed to their offices.",4.09,True,The facility website explicitly states accreditation by the Accreditation Association for Ambulatory Health Care (AAAHC). No evidence found for Joint Commission or QUAD A accreditation.,Joint venture with Texas Health Resources and physician investors. Located on 4th floor of Eye Institute of Texas.
98,Baylor Scott & White Ambulatory Endoscopy Center,,,Dallas,TX,,(469) 800-6021,https://www.bswhealth.com/locations/clinic/ambulatory-endoscopy-center,"endoscopy, colonoscopy, EGD",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,"We have nothing but the most amazing and caring doctors, nurses and anesthesiologists working together to provide the absolute best care for our patients every single day.",4.21,True,Facility website explicitly states accreditation by AAAHC and CMS certification. No evidence found for Joint Commission or QUAD A accreditation in website content or search results.,"Licensed by State of Texas. Accredited by AAAHC, certified by CMS, and accredited by ASGE. Owned in part by physicians."
96,Dallas Day Surgery Center,4633 N Central Expy,Suite 200,Dallas,TX,75205,(972) 566-3001,https://www.drhobar.com/dallas-surgery-center/,"plastic surgery, cosmetic surgery",QUAD A (confirmed),confirmed,no,no,confirmed,False,False,Darlene,"Darlene (CRNA), Dr. Hobar, Robin Hobar (Dr. Hobar's Wife), Dawna (Office Manager), & Sandra (CST).",0.95,True,"The facility website explicitly states it is 'Fully accredited by the American Association For Accreditation of Ambulatory Surgery Facilities, Inc. (AAAASF)' which is QUAD A. No evidence found for AAAHC or Joint Commission accreditation.",Located at Dallas Plastic Surgery Institute. Member of Texas Association of Surgery Centers and Ambulatory Surgery Center Association.
87,North PKWY Surgical Institute,,,Dallas,TX,,,https://northpkwysurgicalinstitute.com,"minimally invasive spine surgery, bariatric surgery, pain management, plastic surgery",AAAHC (confirmed),confirmed,confirmed,no,unknown,False,False,,You will need to arrange for a friend or family member to accompany you and provide transportation if your procedure involves anesthesia or sedatives.,4.21,True,The facility's website explicitly states it is an AAAHC accredited outpatient facility on multiple service pages. No evidence found for Joint Commission or QUAD A accreditation.,Outpatient ambulatory surgery center in Dallas area.
85,Medical City Surgery Center Park Central,,,Dallas,TX,,(972) 661-0505,,"orthopedic surgery, dental surgery, otolaryngologic surgery, endoscopic surgery, OB/GYN surgery, ophthalmologic surgery",AAAHC (confirmed),confirmed,confirmed,no,no,,,,,4.21,True,Medical City Surgery Center Park Central has been accredited by the Accreditation Association for Ambulatory Health Care (AAAHC) according to both their official website and third-party sources.,Medicare certified ASC with 6 operating rooms. Certified by CMS.
83,Dallas Plastic Surgery Institute - Dallas Day Surgery Center,,,Dallas,TX,,,https://dpsi.org/dallas-day-surgery-center/,plastic surgery,QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,"using only highly experienced, board certified anesthesiologists with decades of expertise",4.21,True,Dr. Hobar's page confirms Dallas Day Surgery Center is fully accredited by AAAASF (QUAD A). No AAAHC or Joint Commission accreditation found.,Modern private ambulatory surgical facility within Dallas Plastic Surgery Institute. Specializes in unique needs of plastic surgery patients.
72,Texas Health Surgery Center Dallas,,,Dallas,TX,,,https://texashealthsurgerydallas.com,multi-specialty outpatient surgery,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,Anesthesia may be provided by a combination of board certified physicians and certified registered nurse anesthetists (CRNA).,4.21,True,Facility website explicitly states accreditation by AAAHC. No evidence found for Joint Commission or QUAD A accreditation in website content or search results.,"Ranked #17 in Texas on Newsweek's 2025 list of America's Best Ambulatory Surgery Centers. Majority owned by Texas Health, managed by Surgical Care Affiliates."
72,Medical City Ambulatory Surgery Center Dallas,,,Dallas,TX,,,https://medicalcitysurgerydallas.com,multi-specialty outpatient surgery,AAAHC (confirmed),confirmed,confirmed,no,no,,,,,4.21,True,"The facility website explicitly states 'The Center is licensed by the State of Texas, the federal Medicare program, and accredited by AAAHC.' No mention of Joint Commission or QUAD A accreditation found.",Located on campus of Medical City Dallas Hospital. Licensed by State of Texas and accredited by AAAHC.
58,Dallas Endoscopy Center,5327 N Central Expy,Suite 200,Dallas,TX,75205,(214) 520-8235,https://www.dallasendoscopycenter.com,"gastroenterology, endoscopy, colonoscopy",AAAHC (confirmed),confirmed,confirmed,no,no,False,True,IV Anesthesia Services,"Yet even before I was awake from the anesthesia, someone was trying to get me dressed and out the door",0.55,True,Texas ASC Society directory confirms Dallas Endoscopy Center at 5327 N Central Expy is accredited by AAAHC. LinkedIn profile shows staff affiliation with IV Anesthesia Services.,High performing rating for colonoscopy and endoscopy procedures per US News.
