name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,distance_miles,within_radius,evidence,notes
Aspen Surgery Center,133 La Casa Via,Suite 150,Walnut Creek,CA,94598,(925) 937-8100,https://www.aspensurgerycenter.com/,"orthopedic, dental, otolaryngologic, endoscopic, OB/GYN, ophthalmologic, pain, foot, plastic, general surgery",None / Unknown,unknown,unknown,unknown,unknown,4.55,True,"The facility website states they are Medicare-certified but does not mention accreditation by AAAHC, Joint Commission, or QUAD A. Providence Health Plan directory shows accreditation status as 'currently not available.' No evidence found in searches of accreditor directories or press releases.","8 operating rooms, multi-specialty"
Sequoia Surgical Pavilion,2405 Shadelands Drive,Suite 200,Walnut Creek,CA,94598,,https://sequoiasurgery.org/,"orthopedic, spine",AAAHC (confirmed),confirmed,confirmed,no,unknown,4.81,True,Facility website and CASA press release confirm AAAHC accreditation and AAAHC Certification in Advanced Orthopedics Total Joint Replacement. No evidence of Joint Commission accreditation found; facility only mentions AAAHC. QUAD A status unknown as facility specializes in ortho/spine (not typical QUAD A specialty) and no mentions found.,"6 operating rooms, 1 procedure room, established 2001"
Executive Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 866-9300,,,None / Unknown,unknown,unknown,unknown,unknown,4.86,True,"Executive Surgery Center at 1320 El Capitan Drive in Danville, CA is Medicare-certified by CMS, but no evidence was found in online directories or announcements confirming accreditation by AAAHC, Joint Commission, or QUAD A.",Same address as Crow Canyon Surgical Center - different suite/phone
Crow Canyon Surgical Center,1320 El Capitan Drive,Suite 100,Danville,CA,94526,(925) 413-0808,,,Joint Commission (likely),likely,unknown,likely,unknown,4.86,True,"A cardiovascular practice at Crow Canyon Medical Center describes itself as JCAHO-accredited, but no direct confirmation was found in accreditor directories for Crow Canyon Surgical Center specifically at 1320 El Capitan Drive.","Same address as Executive Surgical Center - different phone, likely distinct facility"
Diablo Plaza Surgery Center,2222 East Street,Suite 290,Concord,CA,94520,(925) 691-1580,,,None / Unknown,unknown,unknown,unknown,unknown,8.61,True,"Diablo Plaza Surgery Center is confirmed as an operational ambulatory surgery center at 2222 East Street, Suite 290, Concord, CA, but no evidence of accreditation by AAAHC, Joint Commission, or QUAD A was found through searches of facility information or accreditor directories.","Same building as Premier Surgery Center, different suite"
Premier Surgery Center,2222 East Street,Suite 200,Concord,CA,94520,(925) 691-5000,https://premiersurgery.us/,"orthopedics, general surgery, ophthalmology, plastic surgery, pain management, gastroenterology",QUAD A (confirmed),confirmed,unknown,unknown,confirmed,8.61,True,Dr. Mariotti's website states Premier Surgery Center is accredited by AAAASF (now QUAD A). No evidence found for AAAHC or Joint Commission accreditation.,"Same building as Diablo Plaza Surgery Center, different suite"
Laser Surgical Center,2021 Ygnacio Valley Rd,#H102,Walnut Creek,CA,94598,(925) 944-9400,,,None / Unknown,unknown,unknown,unknown,unknown,4.75,True,"Laser Surgery Center is a Medicare-certified ASC at 2021 Ygnacio Valley Rd, Walnut Creek, specializing in gastroenterology. No accreditation information found for AAAHC, Joint Commission, or QUAD A in available sources.",
TreSanti Surgery Center,5201 Norris Canyon Terrace,#100,San Ramon,CA,94583,(925) 973-0605,,,AAAHC (confirmed),confirmed,confirmed,no,no,5.96,True,TreSanti Surgery Center's website explicitly states 'Our facility is accredited by Accreditation Association of Ambulatory Health Care.' No mention of Joint Commission or QUAD A accreditation was found on their website or in related searches.,
San Ramon Endoscopy Center,5801 Norris Canyon Rd,Suite 220,San Ramon,CA,94583,(925) 275-9910,https://sanramonendoscopycenter.com/,"gastroenterology, endoscopy, colonoscopy",None / Unknown,unknown,unknown,unknown,unknown,6.48,True,"The facility's website and contact page state it is licensed by California and Medicare certified, but no mention of AAAHC, Joint Commission, or QUAD A accreditation was found in any search results or accreditor directories.",
Blackhawk Surgery Center,,,Danville,CA,,,https://www.blackhawkplasticsurgery.com/,"plastic surgery, cosmetic surgery",QUAD A (confirmed),confirmed,no,no,confirmed,2.66,True,The facility's website and multiple sources explicitly state the Blackhawk Surgery Center is accredited by AAAASF (now QUAD A) and Medicare certified. No evidence found for AAAHC or Joint Commission accreditation.,"On-site at Blackhawk Plastic Surgery & MedSpa, AAAASF and Medicare accredited"
Webster Outpatient Surgery Center,200 Porter Drive,#100,San Ramon,CA,,,,plastic surgery,AAAHC (confirmed),confirmed,confirmed,unknown,unknown,5.98,True,Webster Outpatient Surgery Center's website confirms AAAHC accreditation. No evidence found for Joint Commission or QUAD A accreditation; QUAD A directory was under construction and could not be searched.,"Associated with Dr. Michelle Place, MD"
Walnut Creek Endoscopy and Surgery Center,,,Walnut Creek,CA,,,https://www.sutterhealth.org/find-location/facility/walnut-creek-endoscopy-surgery-center-1043246703,"endoscopy, general surgery",AAAHC (confirmed),confirmed,confirmed,no,no,4.79,True,"The facility's website explicitly states they are accredited by AAAHC. No evidence was found for Joint Commission or QUAD A accreditation, and this is primarily an endoscopy center (gastroenterology focused), not a plastic surgery center.",Sutter Health affiliated
Walnut Creek-Danville Oral Surgery,1855 San Miguel Dr,Suite 25,Walnut Creek,CA,94596,(925) 934-5565,https://www.wcdvoralsurgery.com/,"oral surgery, dental implants, wisdom teeth extraction",None / Unknown,unknown,unknown,unknown,unknown,4.11,True,"No accreditation information found on facility website or in searches for AAAHC, Joint Commission, or QUAD A directories; only surgeon board certifications and staff training credentials were mentioned.","Also has Danville location, office-based surgery"
