warmth_score,name,address,suite,city,state,zip,phone,website,services,accreditation_summary,overall_confidence,accreditation_aaahc,accreditation_joint_commission,accreditation_quad_a,has_anesthesia_director,has_named_anesthesia_group,anesthesia_details,distance_miles,within_radius,evidence,notes
93,Walnut Creek Endoscopy and Surgery Center,365 Lennon Lane,Suite 100,Walnut Creek,CA,94598,(925) 939-4600,https://www.sutterhealth.org/find-location/facility/walnut-creek-endoscopy-surgery-center-1043246703,"colonoscopy, endoscopy, flexible sigmoidoscopy, esophagogastroduodenoscopy, capsule endoscopy, InterStim, pain management, ophthalmology",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,5.08,True,"Facility website explicitly states AAAHC accreditation, and the facility won a 2025 AAAHC Kershner QI Award. No evidence found of Joint Commission or QUAD A accreditation; no specific anesthesia director or named anesthesia group identified.",Accredited by AAAHC and CMS
91,Blackhawk Surgery Center,3600 Blackhawk Plaza Circle,,Danville,CA,94506,(925) 736-5757,https://www.blackhawkplasticsurgery.com,"plastic surgery, cosmetic surgery, medspa",QUAD A (confirmed),confirmed,no,no,confirmed,False,False,Dr. Ronan works exclusively with a Board Certified Anesthesiologist for all surgeries. The center has added an anesthesiologist to staff but no named anesthesia group or medical director is mentioned.,5.72,True,Blackhawk Surgery Center is accredited by AAAASF (now QUAD A) and Medicare certified. Multiple website pages confirm AAAASF accreditation; no evidence found for AAAHC or Joint Commission accreditation.,"Part of Blackhawk Plastic Surgery & MedSpa, accredited by AAAASF and Medicare"
85,BASS Surgery Center,,,Walnut Creek,CA,,,https://basssurgerycenter.com,multi-specialty including gastroenterology,"AAAHC (confirmed), QUAD A (likely)",confirmed,confirmed,no,likely,False,False,,4.79,True,"Facility website states accreditation by AAAHC on multiple pages (home, about us, contact). Sitemap page also mentions QUAD A accreditation. No evidence of Joint Commission accreditation found.",Part of BASS Medical Group
83,DISC Surgery Center - Walnut Creek,,,Walnut Creek,CA,,,https://discsurgerycenter.com/centers/walnut-creek/,"interventional pain management, orthopedics, sports medicine, spine surgery","AAAHC (likely), Joint Commission (confirmed)",confirmed,likely,confirmed,no,False,False,,4.79,True,"Pinnacle Surgery Center (now DISC Walnut Creek) was certified by Joint Commission prior to acquisition in 2023. DISC describes its centers as accredited facilities, and sister locations have AAAHC accreditation.",
73,Walnut Creek Endoscopy Center,,,Walnut Creek,CA,,,,"colonoscopy, endoscopy",AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,4.79,True,Facility explicitly states AAAHC accreditation on Sutter Health website and won 2025 AAAHC Kershner QI Award; no evidence of Joint Commission or QUAD A accreditation.,Separate facility from Walnut Creek Endoscopy and Surgery Center
67,"Callista Surgery Center, LLC",355 Lennon Lane,275,Walnut Creek,CA,94598,925-357-9050,,Ambulatory Surgery Center,AAAHC (confirmed),confirmed,confirmed,no,no,False,False,,5.06,True,Facility website and Golden State Plastic Surgery page both confirm AAAHC accreditation. No evidence found for Joint Commission or QUAD A accreditation.,Found via npino.com NPI registry search at nearby address 355 Lennon Lane (same building complex)
63,Premier Surgery Center,2222 East Street,Suite 200,Concord,CA,94520,(925) 691-5000,,multi-specialty,QUAD A (confirmed),confirmed,no,no,confirmed,False,False,,8.61,True,Dr. Mariotti's website confirms AAAASF (QUAD A) accreditation for Premier Surgery Center. No evidence of AAAHC or Joint Commission accreditation found.,Same building as Diablo Plaza Surgery Center but different suite and phone
60,Gladstone Clinic,1808 Tice Valley Boulevard,Suite 140,Walnut Creek,CA,94595,(925) 837-6000,https://www.gladstoneclinic.com,"dermatologic surgery, cosmetic surgery, skin cancer treatment",None / Unknown,unknown,unknown,no,unknown,False,False,,4.8,True,"No accreditation information found on facility website or in search results; QUAD A directory currently under construction. Facility performs procedures under local anesthesia with oral sedation, not general anesthesia requiring dedicated anesthesia providers.",
45,Danville Oral Surgery Center,380 Diablo Road,Suite 101,Danville,CA,94526,(925) 269-8626,https://www.danvilleoscenter.com,"oral surgery, dental surgery",None / Unknown,unknown,no,no,no,False,False,,2.57,True,No accreditation evidence found for this facility; the center opened in Spring 2025 and no accreditation information appears on the website or in online directories searched.,
45,Aspen Surgical Center,133 La Casa Via,Suite 150,Walnut Creek,CA,94598,(925) 210-8400,,multi-specialty including gastroenterology,AAAHC (confirmed),confirmed,confirmed,unknown,unknown,False,True,"Facility website lists anesthesiologists from Medical Anesthesia Consultants, Inc., though this group reportedly ceased Northern California operations as of Jan 2023. Current anesthesia arrangement unclear.",4.55,True,A 2022 plastic surgery blog explicitly lists Aspen Surgery Center as AAAHC accredited. No evidence found for Joint Commission or QUAD A accreditation.,
